,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
146,선독점 무림 속 공무원으로 살아가는 법,"무협, 퓨전",글쓰는기계,2023.02.06 17:22,2023.11.24 18:02,229 회,"4,913,403","237,525","1,354,139","22,920"
147,"선독점 조선, 내가 바꾼다","대체역사, 퓨전",누텔라.,2017.08.13 19:55,2019.10.25 18:09,545 회,"5,491,841","140,696","3,172,678","10,065"
148,선독점 현질로 S급 소드마스터,"판타지, 퓨전",놋버,2024.01.11 12:05,2024.06.25 12:20,148 회,"1,395,170","26,484","834,956","6,563"
149,선독점 스펠릭의 사냥꾼,"판타지, 퓨전",zaksalking,2023.06.02 23:20,2024.06.21 01:23,328 회,"976,690","33,977","1,925,574","4,055"
150,선독점 귀환자는 왕이 되기로 했다,"현대판타지, 퓨전",야우사,2023.11.24 13:00,2024.06.21 13:00,200 회,"359,998","7,610","1,046,687","1,172"
151,선독점 삼국지에서 살아남기,"대체역사, 퓨전",다작김절필,2022.03.28 19:20,2023.07.02 17:00,434 회,"4,423,422","135,709","2,449,584","14,203"
152,선독점 네버마인드,"현대판타지, 퓨전",간편한인생,2023.09.29 18:30,2024.05.25 19:01,251 회,"820,230","30,544","1,471,326","4,693"
153,선독점 파혼 후 악역과 결혼했습니다,"퓨전, 로맨스",이라훈,2024.02.18 19:19,2024.06.24 21:42,96 회,"769,729","17,019","507,441","4,421"
154,선독점 근력 1000배의 괴물 헌터가 되었다,"현대판타지, 퓨전",비밀서점,2024.01.10 14:58,2024.06.24 20:50,179 회,"962,335","22,042","1,059,102","4,434"
155,선독점 방구석 생체 군단 SSS급 헌터,"현대판타지, 퓨전",이끼용,2024.01.16 23:09,2024.06.24 18:00,137 회,"1,216,202","30,043","727,568","7,042"
156,선독점 재벌집 막내아들,"현대판타지, 퓨전",산경(山景),2017.02.20 20:05,2018.01.11 20:00,326 회,"39,029,832","894,574","1,741,524","61,674"
157,선독점 망한 아이돌이 천재 배우였다.,"현대판타지, 퓨전",성운盛運,2024.01.24 01:35,2024.06.24 20:00,130 회,"720,004","18,254","744,215","3,761"
158,선독점 마교교주가 정체를 숨김,"무협, 퓨전",굴강적소비토,2023.09.11 06:00,2024.06.25 09:00,412 회,"257,092","10,199","2,411,148",946
159,선독점 엠파이어 오브 나이트(Empire Of Knight),"판타지, 퓨전",동쪽사람,2018.12.24 12:00,2019.09.07 12:00,176 회,"1,720,561","49,955","1,020,608","6,376"
160,선독점 삼국지 나만 왕으로 시작함,"대체역사, 퓨전",생땅콩,2023.04.24 15:57,2024.06.17 22:00,182 회,"1,190,161","36,091","1,181,086","5,274"
