,제목,장르,작가,연재 시작일,마지막 연재일,회수,댓글수,추천수,평점
249,창천마신(蒼天魔神),무협,김태현,(2015.08.27.),(2016.04.15.),301,223,125,8.6
250,애타는 로맨스,로맨스,Lunar 이지연,(2017.02.04.),(2017.06.17.),69,949,"2,447",9.5
251,신무시위사,무협,곤붕,(2015.06.05.),(2016.05.17.),128,559,282,8.3
252,형의 그녀 [독점],라이트노벨,NZ,(2015.06.01.),(2016.01.29.),126,480,308,9.4
253,건축의 신,현판,반자개,(2015.10.26.),(2017.07.18.),427,269,149,7.3
254,납치 감금에서 시작되는 우리들의 사바트 [독점],라이트노벨,무영자,(2015.08.01.),(2016.07.27.),113,"1,048",452,9.7
255,무당학사 [단행본],무협,마수,(2012.06.25.),(2012.06.25.),11,79,44,7.5
256,초인전설 [단행본],판타지,K.석우,(2014.01.10.),(2014.07.09.),32,204,144,5.0
257,내 나무,로맨스,정경윤,(2015.02.02.),(2015.08.17.),60,182,263,9.1
258,울보 내 각시,로맨스,세련,(2016.09.30.),(2016.09.30.),100,53,259,8.4
259,로맨틱 호라이즌,로판,유세라,(2014.02.06.),(2014.07.10.),60,401,323,9.5
260,귀환 [단행본],판타지,미리혼,(2012.09.04.),(2012.09.04.),10,100,74,7.6
261,베어물다,로맨스,허사린,(2014.11.01.),(2015.05.07.),79,121,256,9.1
262,사자의 제국 [단행본],판타지,K.석우,(2014.01.10.),(2015.06.10.),39,226,144,6.0
263,영업사원 김유빈,현판,뫼달,(2016.05.04.),(2016.06.30.),150,854,196,9.1
264,슈퍼스타 미스 리,로맨스,순수(soonsu),(2015.12.03.),(2016.06.16.),62,126,212,9.0
265,19금,19금,19금,19금,19금,19금,19금,19금,19금
266,풍혼 [단행본],무협,월인,(2016.04.01.),(2016.12.14.),18,93,92,8.3
267,소환학개론 [단행본],현판,담덕,(2015.10.15.),(2018.03.26.),15,172,155,7.6
268,두 눈 뜨고 레벨업,현판,김강현,(2015.11.06.),(2016.04.18.),326,204,110,7.3
269,마검사 [단행본],판타지,치우기,(2011.11.15.),(2011.11.15.),20,193,104,7.6
270,우연의 오류,로맨스,백나나,(2015.10.07.),(2016.04.10.),78,75,273,8.9
271,태양의 연인,로맨스,블루시연,(2014.05.28.),(2014.09.26.),123,242,324,8.5
272,호텔왕,현판,랑느,(2016.06.28.),(2016.10.11.),200,25,64,8.0
