,제목,장르,작가,연재 시작일,마지막 연재일,회수,조회수,추천수,글자수,선작수
67,선독점 논검무적,"무협, 게임",요비,2023.09.12 19:00,2024.04.10 17:26,201 회,"376,392","13,109","1,246,171","1,638"
68,선독점 마의환생,무협,휘규,2023.09.06 21:22,2024.06.02 23:32,198 회,"503,884","12,933","1,140,711","1,678"
69,선독점 마신 강림(魔神 降臨),"현대판타지, 무협",한중월야,2018.06.14 13:06,2019.03.23 18:33,244 회,"5,040,119","139,218","1,645,246","17,156"
70,선독점 이전 생에 검마였다,무협,리진™,2023.07.26 11:53,2024.03.29 12:00,251 회,"1,171,766","21,029","1,322,174","3,239"
71,불가사의,무협,박현수,2023.03.06 09:37,2023.03.08 13:49,375 회,"8,900",36,"2,031,218",52
72,"선독점 어서와요, 무림식당","무협, 현대판타지",마루이든,2022.03.11 22:33,2023.09.19 21:00,322 회,"1,781,524","46,887","1,857,843","6,374"
73,선독점 남궁세가의 사공자로 환생했다,무협,쌈무,2024.03.05 13:57,2024.06.19 09:41,101 회,"332,366","6,496","545,847","1,160"
74,선독점 천마비고 영약 창고의 천재 수학자,"무협, 퓨전",신조™,2023.12.19 10:15,2024.05.28 22:15,175 회,"653,128","12,369","987,336","2,247"
75,선독점 혼천대성,"무협, 판타지",봉칠월,2022.09.05 09:12,2023.01.10 09:00,309 회,"503,725","19,511","1,825,090","2,229"
76,선독점 21세기 귀환천마,"무협, 현대판타지",창조소설러,2023.07.13 08:01,2024.05.29 19:30,200 회,"548,053","9,743","1,182,883","1,535"
77,선독점 후작가 대공자는 무림인,"판타지, 무협",전욱,2019.04.01 10:55,2019.11.24 19:49,241 회,"5,397,247","126,344","1,478,943","18,971"
78,선독점 제갈세가 신기무신,"무협, 퓨전",해피루,2023.12.09 16:01,2024.06.24 18:00,150 회,"428,361","9,130","897,016","1,241"
79,선독점 사상 최강의 무림맹원,"무협, 판타지",강민성,2022.04.09 22:20,2023.05.20 21:50,350 회,"1,749,137","46,437","2,512,313","6,469"
80,선독점 만렙부터 레벨업,"현대판타지, 무협",해무극,2017.08.14 20:05,2018.05.08 21:15,203 회,"3,778,230","100,785","1,269,528","13,798"
81,선독점 절륜환관,"무협, 퓨전",서마,2020.10.26 20:45,2022.10.24 12:09,394 회,"4,848,342","125,142","2,733,612","14,618"
82,선독점 대사형이 실력을 숨김,"무협, 판타지",언귀정전,2021.06.14 06:00,2023.06.21 09:00,"1,000 회","526,598","15,042","6,259,298","2,031"
83,선독점 뇌신 회귀 공자,무협,하송,2021.06.02 13:21,2024.06.21 20:05,299 회,"1,318,288","21,074","2,084,264","3,801"
84,선독점 낭인무사는 참지 않는다,무협,심신안정,2023.01.25 19:00,2023.08.25 18:00,350 회,"1,324,974","51,081","1,992,698","4,379"
85,선독점 협잠행기 2부 (조운의 귀환),무협,조운천,2019.10.25 08:10,2024.06.24 06:30,778 회,"314,231","11,969","4,691,307",778
86,천라신조,무협,태규,2022.08.23 15:27,2022.08.24 15:52,274 회,"30,856",285,"1,418,497",240
87,선독점 전쟁의 신,"무협, 퓨전",노경찬,2017.03.13 19:00,2019.05.21 07:00,430 회,"3,875,545","105,972","2,376,209","8,062"
88,선독점 이소파한,무협,동방존자,2009.02.09 16:54,2024.06.25 07:00,"1,339 회","8,530,123","241,464","7,444,089","5,453"
